title,release_date,popularity,rating,votes,year
Peaky Blinders: The Immortal Man,2026-03-05,363.0395,7.431,354,2026
Project Hail Mary,2026-03-15,355.5974,8.2,409,2026
War Machine,2026-02-12,345.151,7.262,1115,2026
Avatar: Fire and Ash,2025-12-17,329.536,7.266,1923,2025
Scream 7,2026-02-25,326.3154,5.837,432,2026
Shelter,2026-01-28,318.7599,6.654,371,2026
Crime 101,2026-02-11,279.3258,7.019,209,2026
Your Heart Will Be Broken,2026-03-26,239.8659,7.8,5,2026
Greenland 2: Migration,2026-01-07,208.662,6.372,661,2026
Zootopia 2,2025-11-26,164.3247,7.613,2311,2025
Whistle,2026-01-20,144.2119,6.1,173,2026
Return to Silent Hill,2026-01-21,134.2314,5.014,290,2026
"""Wuthering Heights""",2026-02-11,133.1559,6.364,554,2026
Lake Jesup: Bonecrusher's Revenge,2024-05-01,132.4724,6.1,21,2024
Mercy,2026-01-20,130.3639,7.075,825,2026
Dhurandhar: The Revenge,2026-03-18,128.674,7.841,22,2026
Hoppers,2026-03-04,127.874,7.6,277,2026
Vanaveera,2026-02-13,120.8503,7.0,3,2026
Demon Slayer: Kimetsu no Yaiba Infinity Castle,2025-07-18,117.6453,7.7,768,2025
The Wrecking Crew,2026-01-28,114.992,6.877,822,2026
Hellfire,2026-02-05,114.6867,6.908,60,2026
The Shadow's Edge,2025-08-16,107.8751,7.2,518,2025
The Housemaid,2025-12-18,99.8955,7.213,1595,2025
Agent Zeta,2026-03-20,99.3938,6.8,41,2026
Play Dead,2025-03-29,99.1758,5.827,26,2025
Send Help,2026-01-22,97.0195,7.0,405,2026
Bingo Bongo,1982-12-23,92.6898,5.725,171,1982
Predator: Badlands,2025-11-05,89.8157,7.693,2465,2025
One Battle After Another,2025-09-23,88.5132,7.389,3259,2025
War of the Worlds,2025-07-29,87.3244,4.159,931,2025
Bloodline Killer,2024-04-26,85.7202,5.809,47,2024
Anaconda,2025-12-24,85.5626,5.88,831,2025
Lilly Lives Alone,2025-08-22,85.4799,4.0,1,2025
Sinners,2025-04-16,83.8541,7.467,4138,2025
The Deadly Little Mermaid,2026-03-06,83.6088,5.067,15,2026
The Unearthly,1957-06-28,79.4777,3.8,26,1957
xXx,2002-08-09,75.6631,5.981,4828,2002
The Humbling,2014-12-31,75.026,5.1,153,2014
Sherlock Holmes,2009-12-23,73.2381,7.218,14644,2009
Spider-Man: Brand New Day,2026-07-29,73.2008,0.0,0,2026
Stung,2015-07-03,72.7332,5.3,209,2015
Project X,2012-03-01,72.4435,6.884,6721,2012
David,2025-12-14,67.4783,7.986,110,2025
Countess Dora,1990-01-01,67.3593,5.0,1,1990
Hemmet,1972-05-17,67.0036,0.0,0,1972
Rust Creek,2019-01-04,65.9778,6.296,348,2019
Hunting Season,2025-12-05,65.516,6.984,157,2025
Passenger 57,1992-11-06,61.8373,6.0,1096,1992
Spider-Man: No Way Home,2021-12-15,60.2209,7.933,21695,2021
The Unknown Man,2021-10-16,59.935,8.5,2,2021
The Rip,2026-01-13,59.4958,7.062,1414,2026
Avengers: Doomsday,2026-12-16,59.128,0.0,0,2026
Dhurandhar,2025-12-05,59.0755,6.959,220,2025
Summer School,1987-07-22,59.0257,6.36,272,1987
USS Christmas,2020-11-28,58.6531,6.744,45,2020
28 Years Later: The Bone Temple,2026-01-14,58.6446,7.204,872,2026
Ready or Not: Here I Come,2026-03-19,56.9025,7.4,37,2026
State of Fear,2026-02-10,55.6987,5.4,59,2026
JUJUTSU KAISEN: Execution,2025-11-07,54.585,5.8,86,2025
Robin Hood,2013-08-20,54.4206,10.0,2,2013
